Commerce
KA 01
Want more?
Dial 123#
Lead
ONS OPEN
Com, B..A,
M.B.A
/ 9986793939
 0.0 bounds: (73,257),(384,257),(384,412),(73,412)
Commerce 0.0 bounds: (87,370),(124,371),(124,381),(87,380)
KA 0.0 bounds: (121,257),(136,257),(136,266),(121,266)
01 0.0 bounds: (139,257),(148,257),(148,266),(139,266)
Want 0.0 bounds: (326,272),(351,272),(351,279),(326,279)
more? 0.0 bounds: (355,272),(384,272),(384,278),(355,278)
Dial 0.0 bounds: (327,281),(347,281),(347,288),(327,288)
123# 0.0 bounds: (351,281),(377,281),(377,288),(351,288)
Lead 0.0 bounds: (76,327),(103,329),(103,335),(76,333)
ONS 0.0 bounds: (74,344),(96,345),(95,355),(73,354)
OPEN 0.0 bounds: (100,347),(124,348),(124,356),(100,355)
Com, 0.0 bounds: (74,381),(92,381),(92,387),(74,387)
B..A, 0.0 bounds: (95,382),(117,382),(117,387),(95,387)
M.B.A 0.0 bounds: (77,393),(99,393),(99,397),(77,397)
/ 0.0 bounds: (73,402),(74,402),(74,407),(73,407)
9986793939 0.0 bounds: (78,401),(125,402),(125,412),(78,411)
